"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Array feature","Select array DS with Get Started button or select array from dropdown","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Binary Search Trees Page","0","0","1","0","0"
"","Testing graph page on DSalgo aplliction","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Testing Stack Module","user on Implementation page","0","0","1","0","0"
"","Validating Login page","User on login page and login with invalid and valid inputs from Excel ""Sheet1"" and","0","0","4","0","0"
"","Testing LinkedList page","The user is logged in to DS Algo portal","0","0","1","0","0"
"","HerokuApp Testcases","User is on Home page and click on register","0","1","0","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to binary tree traversals Page","0","0","1","0","0"
"","","","0","11","0","0","0"
"","Testing LinkedList page","user navigated to ""linked list"" page","0","0","3","0","0"
"","Queue feature","Implementation using collections","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Implementation of BST Page","0","0","1","0","0"
"","Queue feature","Trying the python code","0","0","1","0","0"
"","HerokuApp Testcases","user cliks register button with password less than eight character","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Graph"" on home page without sign in","0","0","1","0","0"
"","Testing data structure Module","user is in data structure intro page","0","0","1","0","0"
"","Queue feature","Queue module","0","0","1","0","0"
"","Testing graph page on DSalgo aplliction","user is navigated to Graph page","0","0","1","0","0"
"","Testing Stack Module","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","HerokuApp Testcases","user send username and password only","0","0","1","0","0"
"","Array feature","Applications of Array","0","0","1","0","0"
"","Array feature","Arrays Using List","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","User navigated to ""tree"" page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Stack"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Applications of Binary Trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on Register","0","0","1","0","0"
"","HerokuApp Testcases","user enter username and two different password","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Traversals illustration Page","0","0","1","0","0"
"","Testing Stack Module","user is on Application page","0","0","1","0","0"
"","Testing data structure Module","Data structure","0","0","0","0","1"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Arrays"" without sign in","0","0","1","0","0"
"","HerokuApp Testcases","User is on the Home page and click sign in","0","1","0","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Binary trees Page","0","0","1","0","0"
"","HerokuApp Testcases","User is on Home page and click getstarted link without sign in","0","0","1","0","0"
"","Testing Stack Module","stack module","0","0","1","0","0"
"","Testing Stack Module","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Array feature","Squares of a Sorted Array page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to ""linked list"" page","0","0","3","0","0"
"","Array feature","Find Numbers with Even Number of Digits page","0","0","1","0","0"
"","Testing graph page on DSalgo aplliction","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","Array feature","Practice Questions to Search the Array link","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Arrays"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Types of Binary trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Linkedlist"" without sign in","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Queue"" without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","user is able to navigate to Terminologies Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Linkedlist"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Types of Trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Graph"" without sign in","0","0","1","0","0"
"","Testing LinkedList page","user navigated to "" linked list"" page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to ""Introduction"" page","0","0","1","0","0"
"","Array feature","Max Consecutive Ones page","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Overview of Trees page","0","0","1","0","0"
"","Queue feature","Queue Operations","0","0","1","0","0"
"","Queue feature","Implementation using array","0","0","1","0","0"
"","Array feature","Arrays on Python page","0","0","1","0","0"
"","Testing data structure Module","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","0","0","1","0","0"
"","HerokuApp Testcases","DS Algo Portal","0","0","2","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Implementation in Python Page","0","0","1","0","0"
"","Queue feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User launch home page of an dsalgo project","0","0","1","0","0"
"","Queue feature","Practice Questions","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on sign in","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Queue"" on home page without sign in","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Tree Traversals Page","0","0","1","0","0"
"","Testing Stack Module","signin Module","0","0","0","0","1"
"","Testing tree page on DSalgo aplliction","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Tree"" on home page without sign in","0","0","1","0","0"
"","Array feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user is able to navigate to Implementation of Binary Trees Page","0","0","1","0","0"
"","HerokuApp Testcases","user enter username only","0","0","1","0","0"
"","Testing LinkedList page","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","Testing tree page on DSalgo aplliction","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Tree"" without sign in","0","0","1","0","0"
"","Array feature","Basic Operations In List","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Stack"" without sign in","0","0","1","0","0"
"","Testing graph page on DSalgo aplliction","Graph Module","0","0","1","0","0"
